time,"Lat: 28.5000, Lon: 77.5000"
2024-01-01,9.214460372924805
2024-01-02,7.436670780181885
2024-01-03,7.174915790557861
2024-01-04,6.89839506149292
2024-01-05,8.559005737304688
2024-01-06,7.611870765686035
2024-01-07,7.2522077560424805
2024-01-08,6.5695929527282715
2024-01-09,8.296308517456055
2024-01-10,7.679116725921631
2024-01-11,6.120020866394043
2024-01-12,5.491299629211426
2024-01-13,6.1402812004089355
2024-01-14,4.977771759033203
2024-01-15,4.7178955078125
2024-01-16,4.763606548309326
2024-01-17,5.494195461273193
2024-01-18,6.137416839599609
2024-01-19,7.197836399078369
2024-01-20,7.480916500091553
2024-01-21,5.051767826080322
2024-01-22,5.7033891677856445
2024-01-23,5.231051445007324
2024-01-24,6.354068756103516
2024-01-25,5.24226188659668
2024-01-26,5.655030727386475
2024-01-27,5.840672492980957
2024-01-28,7.896212100982666
2024-01-29,9.180368423461914
2024-01-30,9.462221145629883
2024-01-31,9.819040298461914
2024-02-01,12.740217208862305
2024-02-02,9.386480331420898
2024-02-03,7.774335861206055
2024-02-04,11.508143424987793
2024-02-05,11.714919090270996
2024-02-06,7.345426082611084
2024-02-07,6.3728532791137695
2024-02-08,7.715018272399902
2024-02-09,7.620131015777588
2024-02-10,7.715081691741943
2024-02-11,8.743389129638672
2024-02-12,8.44944953918457
2024-02-13,10.104554176330566
2024-02-14,9.799168586730957
2024-02-15,9.738709449768066
2024-02-16,8.994894027709961
2024-02-17,9.829133987426758
2024-02-18,10.562228202819824
2024-02-19,13.669831275939941
2024-02-20,14.00666618347168
2024-02-21,12.726489067077637
2024-02-22,9.703909873962402
2024-02-23,7.547558784484863
2024-02-24,8.71757984161377
2024-02-25,9.26219367980957
2024-02-26,10.818901062011719
2024-02-27,12.430089950561523
2024-02-28,10.049362182617188
2024-02-29,11.096026420593262
2024-03-01,12.873577117919922
2024-03-02,15.862527847290039
2024-03-03,13.105420112609863
2024-03-04,8.933051109313965
2024-03-05,8.005973815917969
2024-03-06,8.518936157226562
2024-03-07,10.007635116577148
2024-03-08,10.834882736206055
2024-03-09,10.977997779846191
2024-03-10,11.643028259277344
2024-03-11,14.351415634155273
2024-03-12,14.625326156616211
2024-03-13,14.487700462341309
2024-03-14,14.71019458770752
2024-03-15,13.161142349243164
2024-03-16,11.878667831420898
2024-03-17,12.639029502868652
2024-03-18,12.873990058898926
2024-03-19,13.144880294799805
2024-03-20,13.946556091308594
2024-03-21,15.737160682678223
2024-03-22,17.59188461303711
2024-03-23,16.886959075927734
2024-03-24,16.658632278442383
2024-03-25,15.759082794189453
2024-03-26,17.054616928100586
2024-03-27,18.93437957763672
2024-03-28,20.221282958984375
2024-03-29,19.103382110595703
2024-03-30,20.18069076538086
2024-03-31,19.35147476196289
2024-04-01,17.70745277404785
2024-04-02,16.199678421020508
2024-04-03,18.017208099365234
2024-04-04,19.557188034057617
2024-04-05,19.850433349609375
2024-04-06,18.90947723388672
2024-04-07,17.809986114501953
2024-04-08,18.264556884765625
2024-04-09,18.625425338745117
2024-04-10,18.44874382019043
2024-04-11,19.781103134155273
2024-04-12,20.081968307495117
2024-04-13,21.661357879638672
2024-04-14,22.468273162841797
2024-04-15,21.74332046508789
2024-04-16,23.167898178100586
2024-04-17,20.460464477539062
2024-04-18,21.19753646850586
2024-04-19,23.4949951171875
2024-04-20,21.92630386352539
2024-04-21,22.104827880859375
2024-04-22,23.124061584472656
2024-04-23,21.877668380737305
2024-04-24,19.624116897583008
2024-04-25,21.336885452270508
2024-04-26,22.8934383392334
2024-04-27,24.119098663330078
2024-04-28,22.38572883605957
2024-04-29,24.281352996826172
2024-04-30,21.159883499145508
2024-05-01,19.651477813720703
2024-05-02,18.23651885986328
2024-05-03,19.383142471313477
2024-05-04,24.316265106201172
2024-05-05,24.188886642456055
2024-05-06,24.535497665405273
2024-05-07,24.318878173828125
2024-05-08,26.603389739990234
2024-05-09,25.563026428222656
2024-05-10,26.653709411621094
2024-05-11,24.05454444885254
2024-05-12,24.62384796142578
2024-05-13,24.82338523864746
2024-05-14,22.869232177734375
2024-05-15,23.578760147094727
2024-05-16,24.732908248901367
2024-05-17,25.3737735748291
2024-05-18,26.99212074279785
2024-05-19,27.707748413085938
2024-05-20,28.594751358032227
2024-05-21,27.761926651000977
2024-05-22,29.033018112182617
2024-05-23,29.412900924682617
2024-05-24,29.9836368560791
2024-05-25,29.605491638183594
2024-05-26,27.908153533935547
2024-05-27,28.59083366394043
2024-05-28,26.669021606445312
2024-05-29,27.742076873779297
2024-05-30,31.262096405029297
2024-05-31,27.441848754882812
2024-06-01,28.582767486572266
2024-06-02,26.61733627319336
2024-06-03,27.530378341674805
2024-06-04,27.261449813842773
2024-06-05,28.81528663635254
2024-06-06,23.9776668548584
2024-06-07,26.34251594543457
2024-06-08,28.087005615234375
2024-06-09,27.312902450561523
2024-06-10,26.040481567382812
2024-06-11,27.885513305664062
2024-06-12,27.635046005249023
2024-06-13,29.402315139770508
2024-06-14,30.027070999145508
2024-06-15,30.447895050048828
2024-06-16,31.38949203491211
2024-06-17,31.411516189575195
2024-06-18,31.1374568939209
2024-06-19,31.780946731567383
2024-06-20,25.147998809814453
2024-06-21,26.938232421875
2024-06-22,27.275554656982422
2024-06-23,28.579015731811523
2024-06-24,29.244441986083984
2024-06-25,28.20013999938965
2024-06-26,29.54772186279297
2024-06-27,27.119876861572266
2024-06-28,25.674541473388672
2024-06-29,27.943885803222656
2024-06-30,26.99026107788086
2024-07-01,27.228382110595703
2024-07-02,28.629858016967773
2024-07-03,27.324554443359375
2024-07-04,25.87732696533203
2024-07-05,27.013708114624023
2024-07-06,26.10452651977539
2024-07-07,25.564260482788086
2024-07-08,25.395383834838867
2024-07-09,26.564163208007812
2024-07-10,28.095731735229492
2024-07-11,27.348041534423828
2024-07-12,27.23981475830078
2024-07-13,26.10369873046875
2024-07-14,27.39221954345703
2024-07-15,27.981945037841797
2024-07-16,28.708097457885742
2024-07-17,27.837400436401367
2024-07-18,27.897178649902344
2024-07-19,27.48638153076172
2024-07-20,27.75131607055664
2024-07-21,28.51756477355957
2024-07-22,28.7838134765625
2024-07-23,27.283403396606445
2024-07-24,27.38042640686035
2024-07-25,27.498075485229492
2024-07-26,27.133127212524414
2024-07-27,27.568344116210938
2024-07-28,28.156007766723633
2024-07-29,28.602548599243164
2024-07-30,28.880126953125
2024-07-31,29.38427734375
2024-08-01,24.926347732543945
2024-08-02,26.412504196166992
2024-08-03,27.08794593811035
2024-08-04,26.818796157836914
2024-08-05,26.399816513061523
2024-08-06,26.509517669677734
2024-08-07,26.139909744262695
2024-08-08,25.604320526123047
